Line 802: +1 -0 | Balance: 1
Line 803: +1 -0 | Balance: 2
Line 804: +1 -0 | Balance: 3
Line 806: +0 -1 | Balance: 2
Line 807: +1 -0 | Balance: 3
Line 809: +0 -1 | Balance: 2
Line 810: +0 -1 | Balance: 1
Line 812: +0 -1 | Balance: 0
Line 1170: +1 -0 | Balance: 1
Line 1171: +1 -1 | Balance: 1
Line 1172: +1 -1 | Balance: 1
Line 1173: +1 -1 | Balance: 1
Line 1174: +1 -1 | Balance: 1
Line 1175: +0 -1 | Balance: 0
Line 1203: +1 -0 | Balance: 1
Line 1204: +1 -1 | Balance: 1
Line 1205: +1 -1 | Balance: 1
Line 1206: +1 -1 | Balance: 1
Line 1207: +1 -1 | Balance: 1
Line 1208: +1 -1 | Balance: 1
Line 1209: +0 -1 | Balance: 0
Line 1211: +1 -1 | Balance: 0
Line 1212: +1 -1 | Balance: 0
Line 1213: +1 -1 | Balance: 0
Line 1214: +1 -1 | Balance: 0
Line 1216: +1 -0 | Balance: 1
Line 1219: +0 -1 | Balance: 0
Line 1220: +1 -0 | Balance: 1
Line 1222: +0 -1 | Balance: 0
Line 1223: +1 -0 | Balance: 1
Line 1226: +0 -1 | Balance: 0
Line 1228: +1 -1 | Balance: 0
Line 1229: +1 -0 | Balance: 1
Line 1230: +1 -1 | Balance: 1
Line 1231: +1 -1 | Balance: 1
Line 1232: +1 -1 | Balance: 1
Line 1233: +1 -1 | Balance: 1
Line 1234: +0 -1 | Balance: 0
Line 1235: +1 -1 | Balance: 0
Line 1239: +1 -1 | Balance: 0
Line 1240: +1 -0 | Balance: 1
Line 1243: +0 -1 | Balance: 0
Line 1244: +1 -0 | Balance: 1
Line 1247: +0 -1 | Balance: 0
Line 1248: +1 -0 | Balance: 1
Line 1251: +0 -1 | Balance: 0
Line 1252: +1 -1 | Balance: 0
Line 1253: +1 -0 | Balance: 1
Line 1256: +0 -1 | Balance: 0
Line 1257: +1 -0 | Balance: 1
Line 1260: +0 -1 | Balance: 0
Line 1261: +1 -1 | Balance: 0
Line 1262: +1 -0 | Balance: 1
Line 1265: +0 -1 | Balance: 0
Line 1266: +1 -1 | Balance: 0
Line 1268: +1 -1 | Balance: 0
Line 1284: +1 -0 | Balance: 1
Line 1285: +1 -0 | Balance: 2
Line 1288: +0 -1 | Balance: 1
Line 1289: +0 -1 | Balance: 0
Line 1305: +1 -0 | Balance: 1
Line 1306: +1 -0 | Balance: 2
Line 1309: +0 -1 | Balance: 1
Line 1311: +1 -0 | Balance: 2
Line 1312: +1 -0 | Balance: 3
Line 1313: +1 -0 | Balance: 4
Line 1314: +1 -0 | Balance: 5
Line 1316: +0 -1 | Balance: 4
Line 1318: +0 -1 | Balance: 3
Line 1320: +0 -1 | Balance: 2
Line 1322: +1 -0 | Balance: 3
Line 1323: +1 -0 | Balance: 4
Line 1324: +1 -0 | Balance: 5
Line 1326: +0 -1 | Balance: 4
Line 1328: +0 -1 | Balance: 3
Line 1330: +0 -1 | Balance: 2
Line 1332: +1 -0 | Balance: 3
Line 1333: +1 -0 | Balance: 4
Line 1334: +1 -0 | Balance: 5
Line 1336: +0 -1 | Balance: 4
Line 1338: +0 -1 | Balance: 3
Line 1340: +0 -1 | Balance: 2
Line 1342: +1 -0 | Balance: 3
Line 1343: +1 -0 | Balance: 4
Line 1345: +1 -0 | Balance: 5
Line 1348: +0 -1 | Balance: 4
Line 1349: +0 -1 | Balance: 3
Line 1351: +1 -0 | Balance: 4
Line 1352: +1 -0 | Balance: 5
Line 1357: +0 -1 | Balance: 4
Line 1358: +1 -0 | Balance: 5
Line 1359: +1 -1 | Balance: 5
Line 1360: +1 -0 | Balance: 6
Line 1370: +0 -1 | Balance: 5
Line 1371: +1 -1 | Balance: 5
Line 1372: +1 -1 | Balance: 5
Line 1373: +0 -1 | Balance: 4
Line 1374: +0 -1 | Balance: 3
Line 1375: +0 -1 | Balance: 2
Line 1376: +0 -1 | Balance: 1
Line 1378: +1 -0 | Balance: 2
Line 1379: +1 -0 | Balance: 3
Line 1381: +1 -0 | Balance: 4
Line 1382: +1 -0 | Balance: 5
Line 1391: +0 -1 | Balance: 4
Line 1399: +0 -1 | Balance: 3
Line 1400: +0 -1 | Balance: 2
Line 1403: +1 -0 | Balance: 3
Line 1409: +1 -0 | Balance: 4
Line 1411: +1 -0 | Balance: 5
Line 1412: +1 -0 | Balance: 6
Line 1414: +0 -1 | Balance: 5
Line 1415: +1 -0 | Balance: 6
Line 1416: +1 -0 | Balance: 7
Line 1419: +0 -1 | Balance: 6
Line 1421: +1 -0 | Balance: 7
Line 1431: +0 -1 | Balance: 6
Line 1433: +1 -0 | Balance: 7
Line 1435: +0 -1 | Balance: 6
Line 1436: +0 -1 | Balance: 5
Line 1437: +0 -1 | Balance: 4
Line 1440: +1 -0 | Balance: 5
Line 1441: +1 -0 | Balance: 6
Line 1442: +1 -0 | Balance: 7
Line 1445: +0 -1 | Balance: 6
Line 1447: +0 -1 | Balance: 5
Line 1451: +0 -1 | Balance: 4
Line 1454: +1 -0 | Balance: 5
Line 1455: +1 -0 | Balance: 6
Line 1456: +1 -0 | Balance: 7
Line 1459: +0 -1 | Balance: 6
Line 1461: +0 -1 | Balance: 5
Line 1463: +1 -0 | Balance: 6
Line 1471: +0 -1 | Balance: 5
Line 1472: +0 -1 | Balance: 4
Line 1473: +0 -1 | Balance: 3
Line 1476: +0 -1 | Balance: 2
Line 1478: +1 -0 | Balance: 3
Line 1479: +1 -0 | Balance: 4
Line 1481: +0 -1 | Balance: 3
Line 1484: +0 -1 | Balance: 2
Line 1486: +0 -1 | Balance: 1
Line 1489: +1 -0 | Balance: 2
Line 1490: +1 -0 | Balance: 3
Line 1492: +1 -0 | Balance: 4
Line 1493: +1 -0 | Balance: 5
Line 1502: +0 -1 | Balance: 4
Line 1503: +1 -0 | Balance: 5
Line 1512: +1 -0 | Balance: 6
Line 1529: +0 -1 | Balance: 5
Line 1531: +0 -1 | Balance: 4
Line 1532: +0 -1 | Balance: 3
Line 1533: +0 -1 | Balance: 2
Line 1536: +1 -0 | Balance: 3
Line 1538: +1 -0 | Balance: 4
Line 1540: +1 -0 | Balance: 5
Line 1541: +1 -0 | Balance: 6
Line 1543: +0 -1 | Balance: 5
Line 1544: +1 -0 | Balance: 6
Line 1545: +1 -0 | Balance: 7
Line 1550: +0 -1 | Balance: 6
Line 1552: +0 -1 | Balance: 5
Line 1554: +1 -0 | Balance: 6
Line 1564: +0 -1 | Balance: 5
Line 1566: +1 -0 | Balance: 6
Line 1568: +0 -1 | Balance: 5
Line 1569: +0 -1 | Balance: 4
Line 1572: +1 -0 | Balance: 5
Line 1573: +1 -0 | Balance: 6
Line 1574: +1 -0 | Balance: 7
Line 1577: +0 -1 | Balance: 6
Line 1579: +0 -1 | Balance: 5
Line 1583: +0 -1 | Balance: 4
Line 1586: +1 -0 | Balance: 5
Line 1588: +1 -0 | Balance: 6
Line 1589: +1 -0 | Balance: 7
Line 1592: +0 -1 | Balance: 6
Line 1594: +0 -1 | Balance: 5
Line 1596: +1 -0 | Balance: 6
Line 1605: +0 -1 | Balance: 5
Line 1606: +0 -1 | Balance: 4
Line 1607: +0 -1 | Balance: 3
Line 1609: +0 -1 | Balance: 2
Line 1611: +1 -0 | Balance: 3
Line 1612: +1 -0 | Balance: 4
Line 1614: +0 -1 | Balance: 3
Line 1617: +0 -1 | Balance: 2
Line 1619: +0 -1 | Balance: 1
Line 1623: +1 -0 | Balance: 2
Line 1624: +1 -0 | Balance: 3
Line 1636: +1 -0 | Balance: 4
Line 1638: +1 -0 | Balance: 5
Line 1639: +1 -0 | Balance: 6
Line 1648: +1 -0 | Balance: 7
Line 1660: +0 -1 | Balance: 6
Line 1662: +1 -1 | Balance: 6
Line 1663: +1 -0 | Balance: 7
Line 1666: +0 -1 | Balance: 6
Line 1668: +1 -0 | Balance: 7
Line 1671: +0 -1 | Balance: 6
Line 1673: +1 -1 | Balance: 6
Line 1675: +1 -0 | Balance: 7
Line 1678: +0 -1 | Balance: 6
Line 1679: +1 -0 | Balance: 7
Line 1681: +0 -1 | Balance: 6
Line 1682: +1 -0 | Balance: 7
Line 1685: +0 -1 | Balance: 6
Line 1687: +1 -1 | Balance: 6
Line 1688: +1 -0 | Balance: 7
Line 1693: +0 -1 | Balance: 6
Line 1694: +1 -1 | Balance: 6
Line 1696: +1 -0 | Balance: 7
Line 1698: +1 -0 | Balance: 8
Line 1703: +0 -1 | Balance: 7
Line 1705: +0 -1 | Balance: 6
Line 1707: +1 -1 | Balance: 6
Line 1708: +1 -0 | Balance: 7
Line 1711: +0 -1 | Balance: 6
Line 1712: +1 -0 | Balance: 7
Line 1715: +0 -1 | Balance: 6
Line 1716: +1 -0 | Balance: 7
Line 1719: +0 -1 | Balance: 6
Line 1720: +1 -0 | Balance: 7
Line 1723: +0 -1 | Balance: 6
Line 1724: +1 -0 | Balance: 7
Line 1727: +0 -1 | Balance: 6
Line 1728: +1 -1 | Balance: 6
